Experiment,Treatment,Replicate,SOAV,time (h)
exper,treat,rep,oav,time
Experiment 2,CC-CM,3,3.80,21.84
Experiment 2,D-CM,1,1.95,21.84
Experiment 2,D-CM,2,1.80,21.84
Experiment 2,D-CM,3,4.90,21.84
Experiment 2,U-CM,1,4.35,21.84
Experiment 2,U-CM,2,11.87,21.84
Experiment 2,U-CM,3,12.44,21.84
Experiment 2,CC-CM,1,1.90,23.66
Experiment 2,CC-CM,2,1.16,23.66
Experiment 2,CC-CM,3,2.90,23.66
Experiment 2,D-CM,1,0.52,23.66
Experiment 2,D-CM,2,2.02,23.66
Experiment 2,D-CM,3,2.05,23.66
Experiment 2,U-CM,1,8.91,23.66
Experiment 2,U-CM,2,10.42,23.66
Experiment 2,U-CM,3,9.20,23.66
Experiment 2,CC-CM,1,3.45,25.48
Experiment 2,CC-CM,2,1.79,25.48
Experiment 2,CC-CM,3,0.92,25.48
Experiment 2,D-CM,1,1.64,25.48
Experiment 2,D-CM,2,1.52,25.48
Experiment 2,D-CM,3,2.77,25.48
Experiment 2,U-CM,1,7.98,25.48
Experiment 2,U-CM,2,7.78,25.48
Experiment 2,U-CM,3,7.26,25.48
Experiment 2,CC-CM,1,2.81,27.3
Experiment 2,CC-CM,2,0.67,27.3
Experiment 2,CC-CM,3,0.41,27.3
Experiment 2,D-CM,1,2.17,27.3
Experiment 2,D-CM,2,0.66,27.3
Experiment 2,D-CM,3,1.00,27.3
Experiment 2,U-CM,1,6.15,27.3
Experiment 2,U-CM,2,4.46,27.3
Experiment 2,U-CM,3,3.25,27.3
Experiment 2,CC-CM,1,2.18,29.12
Experiment 2,CC-CM,2,0.79,29.12
Experiment 2,CC-CM,3,1.45,29.12
Experiment 2,D-CM,1,1.60,29.12
Experiment 2,D-CM,2,1.44,29.12
Experiment 2,D-CM,3,1.76,29.12
Experiment 2,U-CM,1,4.85,29.12
Experiment 2,U-CM,2,4.13,29.12
Experiment 2,U-CM,3,3.23,29.12
Experiment 2,CC-CM,1,2.24,30.94
Experiment 2,CC-CM,2,0.93,30.94
Experiment 2,CC-CM,3,1.00,30.94
Experiment 2,D-CM,1,1.27,30.94
Experiment 2,D-CM,2,0.56,30.94
Experiment 2,D-CM,3,1.29,30.94
Experiment 2,U-CM,1,3.79,30.94
Experiment 2,U-CM,2,2.92,30.94
Experiment 2,U-CM,3,3.61,30.94
